Location,Version,Encounter Type,Expected EXP,Encounter Rate,Efficiency Score
"Abandoned Ship Hidden Floor Corridors",Emerald,Surfing,306.51,4,76.63
"Abandoned Ship Hidden Floor Corridors",Emerald,Fishing Old Rod,48.45,20,60.56
"Abandoned Ship Hidden Floor Corridors",Emerald,Fishing Good Rod,154.03,20,192.54
"Abandoned Ship Hidden Floor Corridors",Emerald,Fishing Super Rod,541.49,20,676.86
"Abandoned Ship Rooms B1F",Emerald,Surfing,306.51,4,76.63
"Abandoned Ship Rooms B1F",Emerald,Fishing Old Rod,48.45,20,60.56
"Abandoned Ship Rooms B1F",Emerald,Fishing Good Rod,154.03,20,192.54
"Abandoned Ship Rooms B1F",Emerald,Fishing Super Rod,541.49,20,676.86
"Altering Cave",Emerald,Grass,347.85,7,152.18
"Artisan Cave 1F",Emerald,Grass,652.61,10,407.88
"Artisan Cave B1F",Emerald,Grass,652.61,10,407.88
"Cave Of Origin 1F",Emerald,Grass,363.05,4,90.76
"Cave Of Origin Entrance",Emerald,Grass,298.75,4,74.69
"Cave Of Origin Unused Ruby Sapphire Map1",Emerald,Grass,363.05,4,90.76
"Cave Of Origin Unused Ruby Sapphire Map2",Emerald,Grass,363.05,4,90.76
"Cave Of Origin Unused Ruby Sapphire Map3",Emerald,Grass,363.05,4,90.76
"Desert Underpass",Emerald,Grass,405.66,10,253.54
"Dewford Town",Emerald,Surfing,276.04,4,69.01
"Dewford Town",Emerald,Fishing Old Rod,48.45,10,30.28
"Dewford Town",Emerald,Fishing Good Rod,172.23,10,107.64
"Dewford Town",Emerald,Fishing Super Rod,573.05,10,358.16
"Ever Grande City",Emerald,Surfing,276.04,4,69.01
"Ever Grande City",Emerald,Fishing Old Rod,48.45,10,30.28
"Ever Grande City",Emerald,Fishing Good Rod,175.00,10,109.38
"Ever Grande City",Emerald,Fishing Super Rod,574.68,10,359.17
"Fiery Path",Emerald,Grass,226.45,10,141.53
"Granite Cave 1F",Emerald,Grass,59.64,10,37.27
"Granite Cave B1F",Emerald,Grass,106.50,10,66.56
"Granite Cave B2F",Emerald,Grass,124.40,10,77.75
"Granite Cave B2F",Emerald,Rock Smash,160.29,20,200.36
"Granite Cave Stevens Room",Emerald,Grass,62.10,10,38.81
"Jagged Pass",Emerald,Grass,252.85,20,316.06
"Lilycove City",Emerald,Surfing,276.04,4,69.01
"Lilycove City",Emerald,Fishing Old Rod,48.45,10,30.28
"Lilycove City",Emerald,Fishing Good Rod,172.23,10,107.64
"Lilycove City",Emerald,Fishing Super Rod,569.45,10,355.91
"Magma Hideout 1F",Emerald,Grass,448.01,10,280.01
"Magma Hideout 2F 1R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 2F 2R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 2F 3R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 3F 1R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 3F 2R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 3F 3R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 4F",Emerald,Grass,448.01,10,280.01
"Meteor Falls 1F 1R",Emerald,Grass,170.35,10,106.47
"Meteor Falls 1F 1R",Emerald,Surfing,218.81,4,54.70
"Meteor Falls 1F 1R",Emerald,Fishing Old Rod,50.25,30,94.22
"Meteor Falls 1F 1R",Emerald,Fishing Good Rod,149.86,30,280.98
"Meteor Falls 1F 1R",Emerald,Fishing Super Rod,384.65,30,721.22
"Meteor Falls 1F 2R",Emerald,Grass,817.45,10,510.91
"Meteor Falls 1F 2R",Emerald,Surfing,765.54,4,191.38
"Meteor Falls 1F 2R",Emerald,Fishing Old Rod,50.25,30,94.22
"Meteor Falls 1F 2R",Emerald,Fishing Good Rod,149.86,30,280.98
"Meteor Falls 1F 2R",Emerald,Fishing Super Rod,468.47,30,878.38
"Meteor Falls B1F 1R",Emerald,Grass,817.45,10,510.91
"Meteor Falls B1F 1R",Emerald,Surfing,765.54,4,191.38
"Meteor Falls B1F 1R",Emerald,Fishing Old Rod,50.25,30,94.22
"Meteor Falls B1F 1R",Emerald,Fishing Good Rod,149.86,30,280.98
"Meteor Falls B1F 1R",Emerald,Fishing Super Rod,468.47,30,878.38
"Meteor Falls B1F 2R",Emerald,Grass,721.85,10,451.16
"Meteor Falls B1F 2R",Emerald,Surfing,765.54,4,191.38
"Meteor Falls B1F 2R",Emerald,Fishing Old Rod,50.25,30,94.22
"Meteor Falls B1F 2R",Emerald,Fishing Good Rod,149.86,30,280.98
"Meteor Falls B1F 2R",Emerald,Fishing Super Rod,468.47,30,878.38
"Meteor Falls Stevens Cave",Emerald,Grass,817.45,10,510.91
"Mirage Tower 1F",Emerald,Grass,247.69,10,154.81
"Mirage Tower 2F",Emerald,Grass,247.69,10,154.81
"Mirage Tower 3F",Emerald,Grass,247.69,10,154.81
"Mirage Tower 4F",Emerald,Grass,247.69,10,154.81
"Mossdeep City",Emerald,Surfing,276.04,4,69.01
"Mossdeep City",Emerald,Fishing Old Rod,48.45,10,30.28
"Mossdeep City",Emerald,Fishing Good Rod,172.23,10,107.64
"Mossdeep City",Emerald,Fishing Super Rod,697.60,10,436.00
"Mt Pyre 1F",Emerald,Grass,364.05,10,227.53
"Mt Pyre 2F",Emerald,Grass,364.05,10,227.53
"Mt Pyre 3F",Emerald,Grass,364.05,10,227.53
"Mt Pyre 4F",Emerald,Grass,364.79,10,227.99
"Mt Pyre 5F",Emerald,Grass,364.79,10,227.99
"Mt Pyre 6F",Emerald,Grass,364.79,10,227.99
"Mt Pyre Exterior",Emerald,Grass,327.81,10,204.88
"Mt Pyre Summit",Emerald,Grass,386.06,10,241.29
"New Mauville Entrance",Emerald,Grass,328.70,10,205.44
"New Mauville Inside",Emerald,Grass,334.23,10,208.89
"Pacifidlog Town",Emerald,Surfing,276.04,4,69.01
"Pacifidlog Town",Emerald,Fishing Old Rod,48.45,10,30.28
"Pacifidlog Town",Emerald,Fishing Good Rod,172.23,10,107.64
"Pacifidlog Town",Emerald,Fishing Super Rod,697.60,10,436.00
"Petalburg City",Emerald,Surfing,177.71,1,11.11
"Petalburg City",Emerald,Fishing Old Rod,50.25,10,31.41
"Petalburg City",Emerald,Fishing Good Rod,160.71,10,100.45
"Petalburg City",Emerald,Fishing Super Rod,464.22,10,290.14
"Petalburg Woods",Emerald,Grass,45.20,20,56.50
"Route 101",Emerald,Grass,18.56,20,23.20
"Route 102",Emerald,Grass,28.71,20,35.89
"Route 102",Emerald,Surfing,181.05,4,45.26
"Route 102",Emerald,Fishing Old Rod,50.25,30,94.22
"Route 102",Emerald,Fishing Good Rod,160.71,30,301.34
"Route 102",Emerald,Fishing Super Rod,464.22,30,870.41
"Route 103",Emerald,Grass,22.95,20,28.69
"Route 103",Emerald,Surfing,276.04,4,69.01
"Route 103",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 103",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 103",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 104",Emerald,Grass,34.75,20,43.44
"Route 104",Emerald,Surfing,205.51,4,51.38
"Route 104",Emerald,Fishing Old Rod,21.00,30,39.38
"Route 104",Emerald,Fishing Good Rod,56.71,30,106.34
"Route 104",Emerald,Fishing Super Rod,83.32,30,156.22
"Route 105",Emerald,Surfing,276.04,4,69.01
"Route 105",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 105",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 105",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 106",Emerald,Surfing,276.04,4,69.01
"Route 106",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 106",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 106",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 107",Emerald,Surfing,276.04,4,69.01
"Route 107",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 107",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 107",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 108",Emerald,Surfing,276.04,4,69.01
"Route 108",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 108",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 108",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 109",Emerald,Surfing,276.04,4,69.01
"Route 109",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 109",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 109",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 110",Emerald,Grass,130.34,20,162.93
"Route 110",Emerald,Surfing,276.04,4,69.01
"Route 110",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 110",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 110",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 111",Emerald,Grass,225.10,10,140.69
"Route 111",Emerald,Surfing,181.05,4,45.26
"Route 111",Emerald,Rock Smash,119.55,20,149.44
"Route 111",Emerald,Fishing Old Rod,50.25,30,94.22
"Route 111",Emerald,Fishing Good Rod,149.86,30,280.98
"Route 111",Emerald,Fishing Super Rod,384.65,30,721.22
"Route 112",Emerald,Grass,171.15,20,213.94
"Route 113",Emerald,Grass,186.60,20,233.25
"Route 114",Emerald,Grass,220.64,20,275.80
"Route 114",Emerald,Surfing,181.05,4,45.26
"Route 114",Emerald,Rock Smash,119.55,20,149.44
"Route 114",Emerald,Fishing Old Rod,50.25,30,94.22
"Route 114",Emerald,Fishing Good Rod,149.86,30,280.98
"Route 114",Emerald,Fishing Super Rod,384.65,30,721.22
"Route 115",Emerald,Grass,261.32,20,326.65
"Route 115",Emerald,Surfing,276.04,4,69.01
"Route 115",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 115",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 115",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 116",Emerald,Grass,57.67,20,72.09
"Route 117",Emerald,Grass,155.44,20,194.30
"Route 117",Emerald,Surfing,181.05,4,45.26
"Route 117",Emerald,Fishing Old Rod,50.25,30,94.22
"Route 117",Emerald,Fishing Good Rod,160.71,30,301.34
"Route 117",Emerald,Fishing Super Rod,464.22,30,870.41
"Route 118",Emerald,Grass,287.63,20,359.54
"Route 118",Emerald,Surfing,276.04,4,69.01
"Route 118",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 118",Emerald,Fishing Good Rod,144.23,30,270.43
"Route 118",Emerald,Fishing Super Rod,554.82,30,1040.29
"Route 119",Emerald,Grass,361.97,15,339.35
"Route 119",Emerald,Surfing,276.04,4,69.01
"Route 119",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 119",Emerald,Fishing Good Rod,144.23,30,270.43
"Route 119",Emerald,Fishing Super Rod,367.95,30,689.91
"Route 120",Emerald,Grass,342.48,20,428.10
"Route 120",Emerald,Surfing,181.05,4,45.26
"Route 120",Emerald,Fishing Old Rod,50.25,30,94.22
"Route 120",Emerald,Fishing Good Rod,149.86,30,280.98
"Route 120",Emerald,Fishing Super Rod,384.65,30,721.22
"Route 121",Emerald,Grass,347.79,20,434.74
"Route 121",Emerald,Surfing,276.04,4,69.01
"Route 121",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 121",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 121",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 122",Emerald,Surfing,276.04,4,69.01
"Route 122",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 122",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 122",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 123",Emerald,Grass,347.79,20,434.74
"Route 123",Emerald,Surfing,276.04,4,69.01
"Route 123",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 123",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 123",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 124",Emerald,Surfing,276.04,4,69.01
"Route 124",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 124",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 124",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 125",Emerald,Surfing,276.04,4,69.01
"Route 125",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 125",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 125",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 126",Emerald,Surfing,276.04,4,69.01
"Route 126",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 126",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 126",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 127",Emerald,Surfing,276.04,4,69.01
"Route 127",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 127",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 127",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 128",Emerald,Surfing,276.04,4,69.01
"Route 128",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 128",Emerald,Fishing Good Rod,175.00,30,328.12
"Route 128",Emerald,Fishing Super Rod,574.68,30,1077.52
"Route 129",Emerald,Surfing,277.69,4,69.42
"Route 129",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 129",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 129",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 130",Emerald,Grass,188.15,20,235.19
"Route 130",Emerald,Surfing,276.04,4,69.01
"Route 130",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 130",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 130",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 131",Emerald,Surfing,276.04,4,69.01
"Route 131",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 131",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 131",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 132",Emerald,Surfing,276.04,4,69.01
"Route 132",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 132",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 132",Emerald,Fishing Super Rod,665.77,30,1248.32
"Route 133",Emerald,Surfing,276.04,4,69.01
"Route 133",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 133",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 133",Emerald,Fishing Super Rod,665.77,30,1248.32
"Route 134",Emerald,Surfing,276.04,4,69.01
"Route 134",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 134",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 134",Emerald,Fishing Super Rod,665.77,30,1248.32
"Rusturf Tunnel",Emerald,Grass,62.90,10,39.31
"Safari Zone Northeast",Emerald,Grass,482.84,25,754.44
"Safari Zone Northeast",Emerald,Rock Smash,302.97,25,473.39
"Safari Zone Northwest",Emerald,Grass,465.12,25,726.75
"Safari Zone Northwest",Emerald,Surfing,315.67,9,177.56
"Safari Zone Northwest",Emerald,Fishing Old Rod,50.25,35,109.92
"Safari Zone Northwest",Emerald,Fishing Good Rod,152.78,35,334.21
"Safari Zone Northwest",Emerald,Fishing Super Rod,541.68,35,1184.92
"Safari Zone North",Emerald,Grass,441.21,25,689.39
"Safari Zone North",Emerald,Rock Smash,122.68,25,191.69
"Safari Zone Southeast",Emerald,Grass,335.38,25,524.03
"Safari Zone Southeast",Emerald,Surfing,220.01,9,123.76
"Safari Zone Southeast",Emerald,Fishing Old Rod,185.42,35,405.60
"Safari Zone Southeast",Emerald,Fishing Good Rod,206.37,35,451.43
"Safari Zone Southeast",Emerald,Fishing Super Rod,374.16,35,818.49
"Safari Zone Southwest",Emerald,Grass,396.30,25,619.22
"Safari Zone Southwest",Emerald,Surfing,293.85,9,165.29
"Safari Zone Southwest",Emerald,Fishing Old Rod,50.25,35,109.92
"Safari Zone Southwest",Emerald,Fishing Good Rod,152.78,35,334.21
"Safari Zone Southwest",Emerald,Fishing Super Rod,541.68,35,1184.92
"Safari Zone South",Emerald,Grass,393.50,25,614.84
"Seafloor Cavern Entrance",Emerald,Surfing,278.35,4,69.59
"Seafloor Cavern Entrance",Emerald,Fishing Old Rod,48.45,10,30.28
"Seafloor Cavern Entrance",Emerald,Fishing Good Rod,172.23,10,107.64
"Seafloor Cavern Entrance",Emerald,Fishing Super Rod,573.05,10,358.16
"Seafloor Cavern Room1",Emerald,Grass,298.75,4,74.69
"Seafloor Cavern Room2",Emerald,Grass,298.75,4,74.69
"Seafloor Cavern Room3",Emerald,Grass,298.75,4,74.69
"Seafloor Cavern Room4",Emerald,Grass,298.75,4,74.69
"Seafloor Cavern Room5",Emerald,Grass,298.75,4,74.69
"Seafloor Cavern Room6",Emerald,Grass,298.75,4,74.69
"Seafloor Cavern Room6",Emerald,Surfing,278.35,4,69.59
"Seafloor Cavern Room6",Emerald,Fishing Old Rod,48.45,10,30.28
"Seafloor Cavern Room6",Emerald,Fishing Good Rod,172.23,10,107.64
"Seafloor Cavern Room6",Emerald,Fishing Super Rod,573.05,10,358.16
"Seafloor Cavern Room7",Emerald,Grass,298.75,4,74.69
"Seafloor Cavern Room7",Emerald,Surfing,278.35,4,69.59
"Seafloor Cavern Room7",Emerald,Fishing Old Rod,48.45,10,30.28
"Seafloor Cavern Room7",Emerald,Fishing Good Rod,172.23,10,107.64
"Seafloor Cavern Room7",Emerald,Fishing Super Rod,573.05,10,358.16
"Seafloor Cavern Room8",Emerald,Grass,298.75,4,74.69
"Shoal Cave Low Tide Entrance Room",Emerald,Grass,287.95,10,179.97
"Shoal Cave Low Tide Entrance Room",Emerald,Surfing,255.85,4,63.96
"Shoal Cave Low Tide Entrance Room",Emerald,Fishing Old Rod,48.45,10,30.28
"Shoal Cave Low Tide Entrance Room",Emerald,Fishing Good Rod,172.23,10,107.64
"Shoal Cave Low Tide Entrance Room",Emerald,Fishing Super Rod,573.05,10,358.16
"Shoal Cave Low Tide Ice Room",Emerald,Grass,285.30,10,178.31
"Shoal Cave Low Tide Inner Room",Emerald,Grass,287.95,10,179.97
"Shoal Cave Low Tide Inner Room",Emerald,Surfing,255.85,4,63.96
"Shoal Cave Low Tide Inner Room",Emerald,Fishing Old Rod,48.45,10,30.28
"Shoal Cave Low Tide Inner Room",Emerald,Fishing Good Rod,172.23,10,107.64
"Shoal Cave Low Tide Inner Room",Emerald,Fishing Super Rod,573.05,10,358.16
"Shoal Cave Low Tide Lower Room",Emerald,Grass,287.95,10,179.97
"Shoal Cave Low Tide Stairs Room",Emerald,Grass,287.95,10,179.97
"Sky Pillar 1F",Emerald,Grass,781.70,10,488.56
"Sky Pillar 3F",Emerald,Grass,781.70,10,488.56
"Sky Pillar 5F",Emerald,Grass,782.15,10,488.84
"Slateport City",Emerald,Surfing,276.04,4,69.01
"Slateport City",Emerald,Fishing Old Rod,48.45,10,30.28
"Slateport City",Emerald,Fishing Good Rod,172.23,10,107.64
"Slateport City",Emerald,Fishing Super Rod,573.05,10,358.16
"Sootopolis City",Emerald,Surfing,57.80,1,3.61
"Sootopolis City",Emerald,Fishing Old Rod,48.45,10,30.28
"Sootopolis City",Emerald,Fishing Good Rod,56.71,10,35.45
"Sootopolis City",Emerald,Fishing Super Rod,302.44,10,189.02
"Underwater Route124",Emerald,Surfing,479.22,4,119.80
"Underwater Route126",Emerald,Surfing,479.22,4,119.80
"Victory Road 1F",Emerald,Grass,754.60,10,471.63
"Victory Road B1F",Emerald,Grass,950.50,10,594.06
"Victory Road B1F",Emerald,Rock Smash,582.84,20,728.55
"Victory Road B2F",Emerald,Grass,802.61,10,501.63
"Victory Road B2F",Emerald,Surfing,769.07,4,192.27
"Victory Road B2F",Emerald,Fishing Old Rod,50.25,30,94.22
"Victory Road B2F",Emerald,Fishing Good Rod,149.86,30,280.98
"Victory Road B2F",Emerald,Fishing Super Rod,468.47,30,878.38